/home/khurram/Dicta_data/background02test/background02/tax005.avi/138.jpg,|[[ 817  348]
 [1145  297]
 [1320  693]
 [ 941  774]]|,|[[ 821  352]
 [1151  304]
 [1316  697]
 [ 944  777]]|,0.96656546208530802
/home/khurram/Dicta_data/background02test/background02/tax005.avi/125.jpg,|[[ 779  348]
 [1117  314]
 [1243  731]
 [ 845  784]]|,|[[ 781  347]
 [1121  321]
 [1243  736]
 [ 848  786]]|,0.97895449042091021
/home/khurram/Dicta_data/background02test/background02/tax005.avi/175.jpg,|[[ 803  309]
 [1116  243]
 [1327  607]
 [ 972  708]]|,|[[ 806  313]
 [1122  246]
 [1325  609]
 [ 975  705]]|,0.97228457663580126
/home/khurram/Dicta_data/background02test/background02/tax005.avi/030.jpg,|[[ 781  359]
 [1106  350]
 [1194  720]
 [ 799  741]]|,|[[ 784  361]
 [1106  354]
 [1192  721]
 [ 799  737]]|,0.98010106262627872
/home/khurram/Dicta_data/background02test/background02/tax005.avi/207.jpg,|[[ 839  285]
 [1155  286]
 [1219  646]
 [ 843  651]]|,|[[ 843  289]
 [1153  289]
 [1218  648]
 [ 843  657]]|,0.96753106690554691
/home/khurram/Dicta_data/background02test/background02/tax005.avi/178.jpg,|[[ 805  311]
 [1121  249]
 [1322  614]
 [ 962  709]]|,|[[ 808  312]
 [1121  248]
 [1322  617]
 [ 959  709]]|,0.98968513772896993
/home/khurram/Dicta_data/background02test/background02/tax005.avi/172.jpg,|[[ 810  308]
 [1122  238]
 [1341  601]
 [ 990  706]]|,|[[ 819  305]
 [1121  241]
 [1327  609]
 [ 984  703]]|,0.97125115381387939
/home/khurram/Dicta_data/background02test/background02/tax005.avi/094.jpg,|[[ 741  336]
 [1076  277]
 [1245  685]
 [ 859  775]]|,|[[ 746  338]
 [1073  289]
 [1243  689]
 [ 862  777]]|,0.96624387991884442
/home/khurram/Dicta_data/background02test/background02/tax005.avi/173.jpg,|[[ 810  309]
 [1122  240]
 [1339  602]
 [ 987  706]]|,|[[ 800  304]
 [1121  240]
 [1328  609]
 [ 984  704]]|,0.95864445534296228
/home/khurram/Dicta_data/background02test/background02/tax005.avi/116.jpg,|[[ 742  340]
 [1086  316]
 [1186  741]
 [ 779  782]]|,|[[ 737  341]
 [1090  323]
 [1185  742]
 [ 784  785]]|,0.97841301964752514
/home/khurram/Dicta_data/background02test/background02/tax005.avi/141.jpg,|[[ 824  344]
 [1149  288]
 [1333  678]
 [ 961  764]]|,|[[ 825  345]
 [1154  289]
 [1330  681]
 [ 959  769]]|,0.98182254905583677
/home/khurram/Dicta_data/background02test/background02/tax005.avi/079.jpg,|[[ 777  333]
 [1097  279]
 [1291  657]
 [ 927  747]]|,|[[ 777  336]
 [1104  290]
 [1280  665]
 [ 928  749]]|,0.97618584317617219
/home/khurram/Dicta_data/background02test/background02/tax005.avi/212.jpg,|[[ 845  295]
 [1160  284]
 [1239  644]
 [ 864  663]]|,|[[ 848  297]
 [1161  289]
 [1233  646]
 [ 866  668]]|,0.97014337551995755
/home/khurram/Dicta_data/background02test/background02/tax005.avi/053.jpg,|[[ 813  297]
 [1141  284]
 [1286  626]
 [ 885  658]]|,|[[ 813  297]
 [1145  289]
 [1280  624]
 [ 884  657]]|,0.99010989833095187
/home/khurram/Dicta_data/background02test/background02/tax005.avi/091.jpg,|[[ 766  292]
 [1098  227]
 [1285  630]
 [ 909  727]]|,|[[ 770  288]
 [1103  230]
 [1284  633]
 [ 913  729]]|,0.97308637319949842
/home/khurram/Dicta_data/background02test/background02/tax005.avi/143.jpg,|[[ 827  345]
 [1148  285]
 [1338  670]
 [ 969  761]]|,|[[ 825  344]
 [1153  289]
 [1337  673]
 [ 967  761]]|,0.98768347231481446
/home/khurram/Dicta_data/background02test/background02/tax005.avi/128.jpg,|[[ 786  346]
 [1124  309]
 [1259  723]
 [ 863  783]]|,|[[ 789  343]
 [1120  314]
 [1257  726]
 [ 859  786]]|,0.98410073907968076
/home/khurram/Dicta_data/background02test/background02/tax005.avi/055.jpg,|[[ 817  294]
 [1145  280]
 [1295  625]
 [ 895  659]]|,|[[ 817  297]
 [1154  289]
 [1297  625]
 [ 899  665]]|,0.96932059329624298
/home/khurram/Dicta_data/background02test/background02/tax005.avi/052.jpg,|[[ 813  307]
 [1140  293]
 [1282  634]
 [ 883  667]]|,|[[ 813  304]
 [1136  295]
 [1281  634]
 [ 879  670]]|,0.98230233694172753
/home/khurram/Dicta_data/background02test/background02/tax005.avi/155.jpg,|[[ 791  319]
 [1105  245]
 [1326  611]
 [ 973  722]]|,|[[ 794  319]
 [1106  249]
 [1324  610]
 [ 974  723]]|,0.98563588014716963
/home/khurram/Dicta_data/background02test/background02/tax005.avi/096.jpg,|[[ 721  346]
 [1058  289]
 [1223  700]
 [ 835  788]]|,|[[ 726  346]
 [1057  289]
 [1217  705]
 [ 834  784]]|,0.98597851672182857
/home/khurram/Dicta_data/background02test/background02/tax005.avi/014.jpg,|[[ 758  411]
 [1096  371]
 [1251  777]
 [ 850  847]]|,|[[ 764  412]
 [1098  369]
 [1250  784]
 [ 850  849]]|,0.97975431252458278
/home/khurram/Dicta_data/background02test/background02/tax005.avi/042.jpg,|[[ 811  351]
 [1133  343]
 [1239  694]
 [ 846  715]]|,|[[ 816  353]
 [1138  346]
 [1233  696]
 [ 841  721]]|,0.97105859130242478
/home/khurram/Dicta_data/background02test/background02/tax005.avi/003.jpg,|[[ 760  423]
 [1099  363]
 [1304  776]
 [ 910  876]]|,|[[ 765  425]
 [1097  366]
 [1303  778]
 [ 912  879]]|,0.97623897483795541
/home/khurram/Dicta_data/background02test/background02/tax005.avi/016.jpg,|[[ 744  404]
 [1079  371]
 [1216  769]
 [ 815  827]]|,|[[ 748  401]
 [1090  387]
 [1218  770]
 [ 816  827]]|,0.97482801255429097
/home/khurram/Dicta_data/background02test/background02/tax005.avi/018.jpg,|[[ 734  393]
 [1068  364]
 [1192  755]
 [ 792  807]]|,|[[ 738  392]
 [1069  368]
 [1192  757]
 [ 786  817]]|,0.97418733131916557
/home/khurram/Dicta_data/background02test/background02/tax005.avi/204.jpg,|[[ 835  271]
 [1153  272]
 [1217  634]
 [ 840  638]]|,|[[ 839  273]
 [1153  273]
 [1216  635]
 [ 842  641]]|,0.97548741489581181
/home/khurram/Dicta_data/background02test/background02/tax005.avi/217.jpg,|[[ 821  303]
 [1140  285]
 [1236  650]
 [ 858  681]]|,|[[ 822  305]
 [1141  289]
 [1151  648]
 [ 857  680]]|,0.98004146172919804
/home/khurram/Dicta_data/background02test/background02/tax005.avi/004.jpg,|[[ 763  422]
 [1101  364]
 [1304  776]
 [ 910  874]]|,|[[ 766  426]
 [1100  367]
 [1303  777]
 [ 912  877]]|,0.97948850184017444
/home/khurram/Dicta_data/background02test/background02/tax005.avi/067.jpg,|[[ 828  322]
 [1152  281]
 [1328  655]
 [ 951  725]]|,|[[ 832  322]
 [1154  282]
 [1329  657]
 [ 948  729]]|,0.98131178485615334
/home/khurram/Dicta_data/background02test/background02/tax005.avi/023.jpg,|[[ 729  376]
 [1057  357]
 [1156  738]
 [ 760  775]]|,|[[ 733  377]
 [1056  361]
 [1154  740]
 [ 761  776]]|,0.98162128668798565
/home/khurram/Dicta_data/background02test/background02/tax005.avi/031.jpg,|[[ 786  360]
 [1112  352]
 [1199  725]
 [ 804  744]]|,|[[ 786  361]
 [1113  353]
 [1202  722]
 [ 805  744]]|,0.99310505736399179
/home/khurram/Dicta_data/background02test/background02/tax005.avi/058.jpg,|[[ 836  288]
 [1166  269]
 [1324  625]
 [ 926  666]]|,|[[ 836  289]
 [1169  273]
 [1323  627]
 [ 926  665]]|,0.99277833578597396
/home/khurram/Dicta_data/background02test/background02/tax005.avi/150.jpg,|[[ 808  327]
 [1124  256]
 [1336  628]
 [ 978  735]]|,|[[ 811  328]
 [1126  255]
 [1328  633]
 [ 973  736]]|,0.98593489770219223
/home/khurram/Dicta_data/background02test/background02/tax005.avi/001.jpg,|[[ 757  424]
 [1096  362]
 [1306  776]
 [ 912  880]]|,|[[ 763  425]
 [1098  368]
 [1304  777]
 [ 911  881]]|,0.97946810745516133
/home/khurram/Dicta_data/background02test/background02/tax005.avi/024.jpg,|[[ 730  373]
 [1058  356]
 [1155  734]
 [ 759  768]]|,|[[ 734  378]
 [1057  360]
 [1154  737]
 [ 762  769]]|,0.97088240959385896
/home/khurram/Dicta_data/background02test/background02/tax005.avi/035.jpg,|[[ 813  377]
 [1134  371]
 [1226  730]
 [ 833  747]]|,|[[ 816  378]
 [1137  368]
 [1224  731]
 [ 836  754]]|,0.97516981884544862
/home/khurram/Dicta_data/background02test/background02/tax005.avi/074.jpg,|[[ 799  315]
 [1121  264]
 [1306  643]
 [ 937  726]]|,|[[ 800  320]
 [1122  273]
 [1306  646]
 [ 928  738]]|,0.94047466871191787
/home/khurram/Dicta_data/background02test/background02/tax005.avi/036.jpg,|[[ 817  372]
 [1138  367]
 [1231  725]
 [ 839  741]]|,|[[ 820  374]
 [1136  369]
 [1224  725]
 [ 836  745]]|,0.98124426179338087
/home/khurram/Dicta_data/background02test/background02/tax005.avi/184.jpg,|[[ 787  301]
 [1107  251]
 [1282  618]
 [ 911  696]]|,|[[ 793  305]
 [1109  257]
 [1281  620]
 [ 912  697]]|,0.96904258382231756
/home/khurram/Dicta_data/background02test/background02/tax005.avi/088.jpg,|[[ 784  267]
 [1113  202]
 [1307  595]
