/home/khurram/Dicta_data/background05test/background05/tax005.avi/030.jpg,|[[ 704  205]
 [1133  180]
 [1228  740]
 [ 704  779]]|,|[[ 706  208]
 [1137  177]
 [1232  743]
 [ 706  784]]|,0.98333757730542226
/home/khurram/Dicta_data/background05test/background05/tax005.avi/053.jpg,|[[ 847  238]
 [1278  195]
 [1343  800]
 [ 823  827]]|,|[[ 843  241]
 [1281  193]
 [1341  801]
 [ 809  817]]|,0.94984900388369209
/home/khurram/Dicta_data/background05test/background05/tax005.avi/055.jpg,|[[ 776  193]
 [1216  138]
 [1319  749]
 [ 798  805]]|,|[[ 769  193]
 [1218  145]
 [1313  751]
 [ 784  801]]|,0.95580895968437662
/home/khurram/Dicta_data/background05test/background05/tax005.avi/052.jpg,|[[ 866  243]
 [1298  199]
 [1356  807]
 [ 835  829]]|,|[[ 866  240]
 [1296  202]
 [1361  818]
 [ 836  833]]|,0.9864790229101561
/home/khurram/Dicta_data/background05test/background05/tax005.avi/014.jpg,|[[ 657  201]
 [1073  197]
 [1273  756]
 [ 812  843]]|,|[[ 658  199]
 [1072  202]
 [1281  752]
 [ 720  833]]|,0.87892516917936869
/home/khurram/Dicta_data/background05test/background05/tax005.avi/042.jpg,|[[ 893  235]
 [1313  180]
 [1400  743]
 [ 880  785]]|,|[[ 881  241]
 [1314  182]
 [1393  744]
 [ 865  785]]|,0.91919322959989624
/home/khurram/Dicta_data/background05test/background05/tax005.avi/003.jpg,|[[ 743  257]
 [1159  216]
 [1343  771]
 [ 858  860]]|,|[[ 742  255]
 [1167  226]
 [1346  767]
 [ 852  847]]|,0.97387905349858883
/home/khurram/Dicta_data/background05test/background05/tax005.avi/016.jpg,|[[ 653  180]
 [1071  178]
 [1273  740]
 [ 811  827]]|,|[[ 658  181]
 [1073  176]
 [1272  737]
 [ 813  834]]|,0.98682578318491643
/home/khurram/Dicta_data/background05test/background05/tax005.avi/018.jpg,|[[ 685  197]
 [1100  188]
 [1309  745]
 [ 846  833]]|,|[[ 691  197]
 [1106  193]
 [1295  753]
 [ 848  829]]|,0.98001152789864487
/home/khurram/Dicta_data/background05test/background05/tax005.avi/004.jpg,|[[ 719  248]
 [1136  210]
 [1324  763]
 [ 843  855]]|,|[[ 722  247]
 [1138  212]
 [1324  762]
 [ 844  854]]|,0.99007632637306542
/home/khurram/Dicta_data/background05test/background05/tax005.avi/067.jpg,|[[ 652  200]
 [1084  171]
 [1252  753]
 [ 763  841]]|,|[[ 658  200]
 [1089  177]
 [1254  753]
 [ 768  839]]|,0.97875559518965205
