/home/khurram/Dicta_data/background01test/background01/tax005.avi/138.jpg,|[[ 863  228]
 [1296  219]
 [1397  820]
 [ 883  842]]|,|[[ 866  232]
 [1298  222]
 [1391  814]
 [ 881  841]]|,0.98285054411649575
/home/khurram/Dicta_data/background01test/background01/tax005.avi/125.jpg,|[[ 992  236]
 [1413  201]
 [1590  781]
 [1095  838]]|,|[[ 991  241]
 [1418  206]
 [1593  785]
 [1090  843]]|,0.9354208958474306
/home/khurram/Dicta_data/background01test/background01/tax005.avi/175.jpg,|[[555 264]
 [945 242]
 [999 758]
 [538 793]]|,|[[ 553  266]
 [ 945  246]
 [1002  758]
 [ 538  802]]|,0.98108720945045058
/home/khurram/Dicta_data/background01test/background01/tax005.avi/030.jpg,|[[ 702  240]
 [1115  205]
 [1256  756]
 [ 777  823]]|,|[[ 705  241]
 [1117  209]
 [1257  757]
 [ 779  825]]|,0.98544238553792773
/home/khurram/Dicta_data/background01test/background01/tax005.avi/207.jpg,|[[ 697  221]
 [1108  199]
 [1252  745]
 [ 775  806]]|,|[[ 697  223]
 [1103  208]
 [1255  745]
 [ 774  800]]|,0.98481118214668628
/home/khurram/Dicta_data/background01test/background01/tax005.avi/178.jpg,|[[ 583  268]
 [ 971  249]
 [1030  762]
 [ 570  795]]|,|[[ 582  275]
 [ 969  257]
 [1034  769]
 [ 572  801]]|,0.96729530704973321
/home/khurram/Dicta_data/background01test/background01/tax005.avi/172.jpg,|[[527 255]
 [922 230]
 [973 751]
 [507 789]]|,|[[529 258]
 [922 233]
 [974 753]
 [505 785]]|,0.98733075490947653
/home/khurram/Dicta_data/background01test/background01/tax005.avi/094.jpg,|[[ 899  253]
 [1301  201]
 [1496  748]
 [1029  831]]|,|[[ 895  256]
 [1304  208]
 [1494  753]
 [1025  833]]|,0.95994572838546088
/home/khurram/Dicta_data/background01test/background01/tax005.avi/173.jpg,|[[532 259]
 [926 235]
 [976 754]
 [512 791]]|,|[[532 259]
 [926 240]
 [976 756]
 [513 793]]|,0.98923431103069948
/home/khurram/Dicta_data/background01test/background01/tax005.avi/116.jpg,|[[ 993  245]
 [1408  191]
 [1616  762]
 [1134  846]]|,|[[ 993  241]
 [1408  193]
 [1617  768]
 [1131  851]]|,0.96370408123260276
/home/khurram/Dicta_data/background01test/background01/tax005.avi/141.jpg,|[[ 830  238]
 [1263  232]
 [1346  830]
 [ 831  846]]|,|[[ 833  242]
 [1266  235]
 [1344  833]
 [ 833  846]]|,0.98011512673282986
/home/khurram/Dicta_data/background01test/background01/tax005.avi/079.jpg,|[[ 841  180]
 [1254  163]
 [1379  722]
 [ 899  761]]|,|[[ 841  182]
 [1258  170]
 [1376  725]
 [ 895  764]]|,0.9797967088461238
/home/khurram/Dicta_data/background01test/background01/tax005.avi/212.jpg,|[[ 692  202]
 [1109  185]
 [1255  739]
 [ 771  800]]|,|[[ 688  206]
 [1109  185]
 [1247  742]
 [ 773  801]]|,0.98693998137361227
/home/khurram/Dicta_data/background01test/background01/tax005.avi/227.jpg,|[[ 710  145]
 [1141  156]
 [1277  741]
 [ 782  781]]|,|[[ 710  146]
 [1141  161]
 [1281  742]
 [ 780  785]]|,0.98789137114857573
/home/khurram/Dicta_data/background01test/background01/tax005.avi/053.jpg,|[[403 202]
 [834 159]
 [925 710]
 [419 784]]|,|[[401 202]
 [835 161]
 [929 713]
 [417 784]]|,0.98721375084754992
/home/khurram/Dicta_data/background01test/background01/tax005.avi/091.jpg,|[[ 894  240]
 [1298  195]
 [1480  742]
 [1012  817]]|,|[[ 895  241]
 [1300  194]
 [1480  737]
 [1008  817]]|,0.98582459231677111
/home/khurram/Dicta_data/background01test/background01/tax005.avi/143.jpg,|[[ 806  236]
 [1238  232]
 [1314  828]
 [ 798  841]]|,|[[ 802  242]
 [1241  235]
 [1312  831]
 [ 801  840]]|,0.98279590263532668
/home/khurram/Dicta_data/background01test/background01/tax005.avi/128.jpg,|[[ 997  214]
 [1424  185]
 [1580  776]
 [1079  821]]|,|[[ 998  216]
 [1424  187]
 [1585  768]
 [1073  824]]|,0.95634595786624788
/home/khurram/Dicta_data/background01test/background01/tax005.avi/055.jpg,|[[382 199]
 [814 156]
 [907 707]
 [400 784]]|,|[[381 201]
 [818 161]
 [913 707]
 [402 785]]|,0.97986168228048709
/home/khurram/Dicta_data/background01test/background01/tax005.avi/052.jpg,|[[413 202]
